epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92339,0.87097,3.70477,1.09895,0.00333,1,0.11049,0.10705,0.55981,3.51549,0.9068,8e-05,8e-05,8e-05
2,18.3901,0.5961,3.13818,0.97587,0.00333,1,0.33203,0.2859,0.56983,3.2925,0.8268,0.000176436,0.000176436,0.000176436
3,28.5176,0.77259,2.19986,0.99226,0.00491,1,0.34094,0.3065,0.53691,3.111,0.79994,0.000268912,0.000268912,0.000268912
4,39.3771,0.71618,1.46976,0.92927,1,0.16345,0.64269,0.55947,0.51017,2.88945,0.78465,0.000357428,0.000357428,0.000357428
5,49.4976,0.70524,1.25242,0.92468,0.00333,1,0.38279,0.34388,0.51767,3.06027,0.80062,0.000441984,0.000441984,0.000441984
6,59.8675,0.77479,1.52335,0.94104,0.00333,1,0.40686,0.36958,0.47327,3.03341,0.77421,0.00052258,0.00052258,0.00052258
7,70.0328,0.86795,1.59612,1.00807,1,0.22994,0.45382,0.38359,0.5187,2.88648,0.77665,0.000599216,0.000599216,0.000599216
8,79.4654,0.68557,1.43369,0.97668,1,0.23265,0.6718,0.56531,0.54236,2.84277,0.786,0.000671892,0.000671892,0.000671892
9,89.3894,0.79245,1.327,0.97264,1,0.23265,0.77321,0.65656,0.54071,2.83046,0.79286,0.000740608,0.000740608,0.000740608
10,98.8629,0.78813,1.22038,0.99701,0.92679,0.35211,0.87618,0.73681,0.62786,2.62494,0.83741,0.000805364,0.000805364,0.000805364
11,108.334,0.70256,1.1937,0.94971,1,0.45118,0.98443,0.81952,0.65706,2.49503,0.85227,0.00086616,0.00086616,0.00086616
12,117.483,0.671,1.27477,0.97566,1,0.47767,0.98008,0.80913,0.62679,2.38527,0.8344,0.000922996,0.000922996,0.000922996
13,126.777,0.67406,1.17674,0.92753,1,0.82638,0.98671,0.85413,0.55605,2.14558,0.8098,0.000975872,0.000975872,0.000975872
14,136.848,0.77437,1.14816,0.93507,1,0.82638,0.98671,0.85413,0.55605,2.14558,0.8098,0.00102479,0.00102479,0.00102479
